Urdu,Latin
میں,mein
تم,tum
وہ,wo
آپ,aap
ہم,ham
لوگ,log
ہے,hai
ہیں,hain
ہو,ho
ہوں,hun
تھا,tha
تھی,thi
تھے,the
تھیں,thin
گا,ga
گی,gi
گے,ge
رہا,raha
رہے,rahe
رہی,rahi
چکا,chuka
چکی,chuki
چکے,chuke
چاہتا,chahta
چاہتی,chahti
چاہتے,chahte
کا,ka
کی,ki
کے,ke
سے,se
پر,par
کو,ko
نے,ne
میرا,mera
میری,meri
میرے,mere
تمہارا,tumhara
تمہاری,tumhari
تمہارے,tumhare
ہمارا,hamara
ہماری,hamari
ہمارے,hamare
مجھ,mujh
اس,us
اِس,is
اُس,us
ان,un
اِن,in
اُن,un
لوگوں,logon
مجھے,mujhe
اسے,use
اُسے,use
اِسے,ise
انہیں,unhain
اِنہیں,inhain
اُنہیں,unhain
ہمیں,hamain
کیا,kya
کہاں,kahan
کدھر,kidhar
کِدھر,kidhar
کب,kab
کون,kon
کیوں,kyu
کیسے,kese
کیسا,kesa
کیسی,kesi
کس,kis
کِس,kis
کسی,kisi
کِسی,kisi
یہاں,yahan
وہاں,wahan
ادھر,udhar
اُدھر,udhar
اِدھر,idhar
اب,ab
جب,jab
تب,tab
سب,sab
جہاں,jahan
ایسا,aisa
ایسے,aise
ایسی,aisi
ویسا,waisa
ویسی,waisi
ویسے,waise
جیسا,jaisa
جیسے,jaise
جیسی,jaisi
کھانا,khana
سیکھنا,sikhna
چھوٹا,chota
چھوٹی,choti
چھوٹے,chote
بڑا,barda
بڑی,bardi
بڑے,barde
پرانا,purana
پرانی,purani
پرانے,purane
نیا,naya
نئی,nayi
نئے,naye
خوبصورت,khoobsurat
بدصورت,badsorat
خوش,khush
غمگین,ghamgeen
تیز,tez
آہستہ,aahesta
موٹا,mota
موٹی,moti
موٹے,mote
پتلا,patla
پتلی,patli
پتلے,patle
سخت,sakhat
نرم,naram
گرم,garam
ٹھنڈا,thanda
ٹھنڈی,thandi
ٹھنڈے,thande
شیرین,shareen
میٹھا,meetha
میٹھی,meethi
مٹھے,meethe
کھٹا,khatta
کھٹی,khatti
کھٹے,khatte
کڑوا,kardwa
کڑوی,khardwi
کڑوے,khardwe
نم,nam
خشک,khushak
بلند,buland
کم,kam
زندہ,zinda
سنجیدہ,sanjeeda
شریف,shareef
جھوٹا,jhoota
جوٹی,jhooti
جھوٹے,jhoote
محترم,mohtram
بے ادب,be adab
صاف,saaf
گندا,ganda
گندی,gandi
گندے,gande
سست,sust
محنتی,mehanti
مستقل,mustqil
متغیر,matqheer
سادہ,sada
سادی,sadi
سادے,sade
پیچیدہ,pecheeda
ممتاز,mumtaaz
قدیم,qadeem
جدید,jadeed
مختلف,mukhtlif
یکساں,yaksaan
شجاع,shuja
عقلمند,aqal mand
بے وقوف, be-wa-qoof
مستحکم,mustehkam
کمزور,kamzor
صحیح,Sahi
غلط,ghalat
ممکن,mumkin
ناممکن,na mumkin
خوشی,khusi
زخمی,zakhmi
بائیں,bayin
خالی,khali
بھرا,bhara
بھری,bhari
بھرے,bhare
معمولی,mamooli
بلند,buland
کم,kam
گہرا,gehra
کامیاب,kaamyaab
ناکام,nakaam
شادمان,shaadman
ناراض,naraz
پرہیزگار,parhez gar
بے فکر,be fikar
پریشان,preshan
بھوکا,bhooka
بھوکی,bhooki
بھوکے,bhooke
پیاسا,pyasa
پیاسی,pyasi
پیاسے,pyase
خوفزدہ,khofzada
بے خوف,be khof
نادان,nadan
شیطان,shetan
جذباتی,jazbati
بے حس,be his
متفق,mutfiq
اختلافی,ikhtlafi
مستقل,mustqil
نیک,naik
برا,bura
بری,buri
برے,bure
تازہ,taza
تازی,tazi
تازے,taze
مریض,mareez
صحت,sehat
مند,mand
عام,aam
نادر,nadar
قریبی,qreebi
خاموش,khamosh
عجیب,ajeeb
آشنا,aashna
نامعلوم,namaloom
پرستار,pur sitar
سفید,safaid
سیاہ,seah
پیلا,peela
پیلی,peeli
پیلے,peele
سرخ,surakh
لال,laal
زرد,zard
نیلا,neela
نیلی,neeli
نیلے,neele
گلابی,glabi
نارنجی,naranji
بھورا,bhoora
بھوری,bhoori
بھورے,bhoore
خرم,khuram
شریف,shareef
خودغرض,khud gharaz
سنگین,sangeen
مشکل,mushkil
آسان,aasaan
دور,door
قریب,qareeb
نزدیق,nazdeeq
اچھا,acha
اچھی,achi
اچھے,ache
کالا,kala
کالی,kali
کالے,kale
وفادار,wafa dar
پہنچانا,pohanchana
سمبھالنا,sambhalna
خریدنا,khareedna
لینا,lena
چھپانا,chupana
بانٹنا,baantna
باندھنا,bandhna
گھورنا,ghoorna
دینا,dena
گزارنا,guzarna
ڈھونڈنا,dhoondna
ہونا,hona
چیخنا,cheekhna
منانا,manana
ملنا,milna
گرنا,girna
سکھانا,sikhana
لگانا,lagana
پھینکنا,phaikna
ہارنا,harna
دھکیلنا,dhakailna
کھینچنا,khainchna
پھسلنا,phisalna
پکڑنا,pakardna
نچوڑنا,nachordna
چھونا,choona
بنانا,banana
کاٹنا,kaatna
مڑنا,murdna
رکھنا,rakhna
کھیلنا,khailna
چلنا,chalna
لپیٹنا,lapaitna
چھیلنا,cheelna
کرنا,krna
پھنسنا,phansna
ڈرنا,darna
لٹکانا,latkana
کھجانا,khujana
گھسنا,ghusna
اٹھانا,uthana
بیٹھنا,bhaithna
لیٹنا,leitna
جھکنا,jhukna
اڑنا,urdna
سلنا,silna
چبانا,chabana
نگلنا,nigalna
چوسنا,choosna
کھودنا,khodna
چھڑکنا,chiradkna
ٹکرانا,takrana
ٹھہرنا,theharna
پھیلنا,phailna
ڈوبنا,doobna
جھٹکنا,jhatkna
کھولنا,kholna
پلٹانا,palatana
پلٹنا,palatna
پھیلانا,phelana
تیرنا,tairna
پرکھنا,prakhna
لڑنا,lardna
بہکانا,behkana
مانگنا,mangna
ابالنا,ubalna
موڑنا,mordna
بہنا,behna
لانا,lana
جننا,janna
دیکھنا,deikhna
شرمانا,sharmana
کھلنا,khilna
مارنا,marna
جلنا,jalna
جلانا,jalana
دُھندلانا,dhudlana
کسنا,kasna
جتانا,jatana
